time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1642	1.39615	5.15374	0.273661	0.279501	radar	4.40714	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3846	1.46897	5.10796	0.291052	0.285117	lidar	0.977822	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6123	1.55814	4.90429	0.318829	0.310123	radar	2.48104	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8309	1.57157	4.84467	0.299205	0.257793	lidar	1.47151	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1013	1.62456	5.03772	0.293456	0.226558	radar	2.75168	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3847	1.65938	5.08841	0.277163	0.184949	lidar	2.37596	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6146	1.71362	4.99693	0.279679	0.175869	radar	0.654856	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8425	1.77183	4.97051	0.283268	0.168113	lidar	0.255439	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1013	1.86867	5.16251	0.301968	0.18088	radar	1.43104	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3485	1.88472	5.12763	0.275924	0.128698	lidar	0.760353	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6068	1.94446	5.23741	0.273288	0.113381	radar	0.603968	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8074	2.0883	5.19434	0.326333	0.183378	lidar	3.15127	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0766	2.20636	5.38393	0.348566	0.199313	radar	2.44248	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2832	2.3523	5.34319	0.394078	0.251762	lidar	2.35705	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4526	2.50998	5.01351	0.454679	0.332888	radar	10.5895	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7031	2.61568	5.05316	0.463671	0.321544	lidar	0.945295	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9217	2.73131	5.03545	0.4816	0.32472	radar	0.0997724	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1502	2.88263	5.07822	0.514132	0.348452	lidar	0.424852	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4029	2.99997	5.27979	0.513887	0.31396	radar	1.3962	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6132	3.0518	5.16738	0.491471	0.258358	lidar	2.579	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8436	3.2207	5.30714	0.524727	0.284632	radar	3.22126	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0552	3.41772	5.34963	0.57455	0.336801	lidar	0.65814	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2615	3.59598	5.24039	0.61649	0.381772	radar	2.47567	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4771	3.77809	5.28132	0.649036	0.401424	lidar	0.286802	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6872	3.91337	5.24413	0.655955	0.382553	radar	1.1895	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9123	4.04052	5.22588	0.653603	0.351351	lidar	0.376218	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1062	4.19955	5.07467	0.679743	0.373237	radar	1.34754	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3012	4.39195	5.11804	0.713292	0.394985	lidar	0.238837	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5127	4.55785	5.1937	0.72318	0.376407	radar	0.770209	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6906	4.71548	5.15107	0.738417	0.37099	lidar	0.497224	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8423	4.89601	4.87712	0.783085	0.428711	radar	2.86197	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9996	5.12564	4.94696	0.833729	0.471155	lidar	0.539035	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1733	5.28399	4.9312	0.841158	0.44615	radar	1.57639	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3289	5.45963	4.90778	0.860905	0.442339	lidar	0.116308	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4894	5.61246	4.83219	0.868018	0.422403	radar	2.76267	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6819	5.72174	4.74368	0.84362	0.357214	lidar	1.40278	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8306	5.9033	4.67324	0.869222	0.374483	radar	0.493485	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9999	6.10477	4.73427	0.890382	0.378684	lidar	1.07891	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1537	6.30892	4.81555	0.912234	0.379202	radar	0.964335	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2703	6.56745	4.90495	0.969252	0.433821	lidar	0.867599	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4037	6.7795	4.90175	0.996903	0.444585	radar	0.249799	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.554	6.90092	4.75926	0.977363	0.384919	lidar	1.41218	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7065	7.10789	4.89083	0.984608	0.357474	radar	0.772847	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9099	7.23804	4.81193	0.947259	0.280022	lidar	3.48787	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0019	7.42207	4.58882	0.984599	0.328318	radar	3.59938	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.082	7.71854	4.74724	1.05832	0.410089	lidar	2.04311	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2071	7.91937	4.78428	1.06797	0.389083	radar	0.291516	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2822	8.14613	4.78672	1.10784	0.416944	lidar	1.25256	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3833	8.35475	4.83862	1.12099	0.395761	radar	2.11217	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4821	8.48881	4.66116	1.11269	0.355069	lidar	2.97517	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5777	8.68639	4.59027	1.13204	0.362731	radar	0.413751	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7406	8.86212	4.56709	1.11155	0.310234	lidar	3.87191	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8189	9.07267	4.48019	1.14463	0.345585	radar	0.946637	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9428	9.31903	4.58848	1.16173	0.347504	lidar	3.50809	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9929	9.5278	4.43176	1.2074	0.405319	radar	2.09327	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0704	9.78841	4.54491	1.24392	0.429357	lidar	1.26924	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.131	10.046	4.70493	1.27418	0.429574	radar	7.55355	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1703	10.3439	4.85275	1.3286	0.47594	lidar	1.10117	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1837	10.5821	4.75816	1.38372	0.536844	radar	2.47698	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2359	10.8686	4.88164	1.41882	0.54918	lidar	2.1151	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2602	11.1398	4.99723	1.44989	0.542609	radar	4.82538	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2972	11.371	4.95829	1.46858	0.531296	lidar	0.0654776	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2383	11.6225	4.81202	1.55758	0.656039	radar	9.03142	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3142	11.8482	4.77024	1.55374	0.60839	lidar	5.35983	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3417	12.087	4.91472	1.54508	0.511107	radar	4.41164	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3219	12.3898	5.05939	1.58863	0.535514	lidar	0.776765	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2691	12.6282	4.93016	1.65379	0.621286	radar	2.60765	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3018	12.8507	4.85644	1.65739	0.585586	lidar	2.24877	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2949	13.075	4.81119	1.67632	0.570289	radar	2.15116	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2652	13.274	4.71405	1.70178	0.565249	lidar	0.901196	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2288	13.5082	4.75748	1.72251	0.539991	radar	1.36606	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2049	13.7748	4.82928	1.74455	0.534614	lidar	1.47024	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1525	13.9964	4.76821	1.78033	0.557808	radar	0.749474	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0921	14.2608	4.85188	1.81239	0.564225	lidar	0.397105	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0204	14.4901	4.85674	1.84207	0.560737	radar	1.33215	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9034	14.7586	4.98107	1.89092	0.588304	lidar	0.960718	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8397	14.9736	4.95188	1.90011	0.538269	radar	3.41579	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.823	15.1749	4.81599	1.90022	0.504082	lidar	2.32523	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6967	15.3721	4.64175	1.9894	0.66791	radar	7.32688	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6829	15.5359	4.44535	1.99057	0.626124	lidar	3.19517	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6031	15.7261	4.42086	2.00967	0.596896	radar	1.2728	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4877	15.954	4.51107	2.04455	0.603792	lidar	0.229591	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3939	16.1561	4.5396	2.05135	0.540624	radar	1.86359	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2836	16.3362	4.49726	2.08161	0.544427	lidar	0.336545	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1731	16.5245	4.47577	2.11117	0.551875	radar	0.20755	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0264	16.7576	4.61241	2.14422	0.55927	lidar	0.502983	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8665	16.9503	4.61664	2.21787	0.678746	radar	6.43444	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6642	17.2179	4.89418	2.26015	0.689578	lidar	2.08677	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5726	17.4187	4.83093	2.2214	0.511905	radar	6.14636	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3428	17.6311	5.00295	2.27078	0.539018	lidar	3.63153	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2023	17.8278	4.99516	2.26693	0.459612	radar	1.82691	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0837	18.0052	4.899	2.27831	0.446501	lidar	0.998311	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9089	18.1538	4.83149	2.33118	0.520355	radar	2.48458	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7992	18.2769	4.62928	2.34975	0.511303	lidar	1.01786	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6747	18.4491	4.57794	2.35555	0.477467	radar	6.38488	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4631	18.6503	4.74512	2.38385	0.482702	lidar	0.668579	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2868	18.785	4.69791	2.42495	0.522867	radar	1.88671	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
